Type,Subtype,Month,Email Subject,Date,time,Recipients,opened,open_rate %,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public
Value,Value,Mar 2026,A fun way I use AI that beginners don’t expect,3/5/2026,16:00:24,20300,5956,29.34%,277,1.36%,4.65%,20,0.1,FALSE
Value,Value,Mar 2026,How to use AI to learn faster (not lazier),3/3/2026,16:00:18,20228,6558,32.42%,273,1.35%,4.16%,25,0.12,FALSE
Value,Value,Feb 2026,Overpaying for AI? Read This First.,2/28/2026,16:00:19,20095,8053,41.07%,274,1.35%,3.38%,27,0.13,FALSE
Value,Value,Feb 2026,Should we still learn coding in 2026?,2/27/2026,16:00:27,20038,6600,33.67%,274,1.37%,4.15%,23,0.11,FALSE
Value,Value,Feb 2026,Closed vs Open Source AI just got more interesting’,2/24/2026,16:00:42,19941,6809,34.47%,433,2.17%,6.36%,27,0.14,FALSE
Launch Email (Cohort),Cohort 5 Launch,Feb 2026,Bootcamp Your private invite to join the AI Agent Bootcamp (Cohort 5),2/17/2026,16:00:14,8930,3670,41.10%,1031,11.55%,28.09%,15,0.17,FALSE
Pre-Sales,Cohort 5 Hype/Sales Email,Feb 2026,A quick heads up for tomorrow,2/16/2026,16:00:16,8869,3411,38.46%,11,0.12%,0.32%,15,0.17,FALSE
Pre-Sales,Cohort 5 Hype/Sales Email,Feb 2026,A quick heads up for tomorrow,2/16/2026,16:00:13,10482,2824,26.94%,53,0.51%,1.88%,9,0.09,FALSE
Livestream,Cohort 5 Livestream,Feb 2026,Building Agents in 2026 (major updates!),2/13/2026,16:00:12,19668,6572,33.41%,366,1.86%,5.57%,15,0.08,FALSE
Pre-Sales,Cohort 5 Hype/Sales Email,Feb 2026,The AI agent quietly keeping my life together,2/12/2026,16:00:33,10646,2875,27.01%,68,0.64%,2.37%,11,0.1,FALSE
Pre-Sales,Cohort 5 Hype/Sales Email,Feb 2026,The AI agent quietly keeping my life together,2/12/2026,16:00:29,8999,3423,38.04%,14,0.16%,0.41%,14,0.16,FALSE
Pre-Sales,Cohort 5 Hype/Sales Email,Feb 2026,The AI agent shift I’m seeing in 2026,2/10/2026,16:00:33,10696,2892,27.04%,53,0.50%,1.83%,7,0.07,FALSE
Pre-Sales,Cohort 5 Hype/Sales Email,Feb 2026,The AI agent shift I’m seeing in 2026,2/10/2026,16:00:09,8925,3425,38.38%,12,0.13%,0.35%,11,0.12,FALSE
Value,Value,Feb 2026,Why open-source AI feels like a turning point,2/7/2026,16:00:07,19609,6608,33.70%,14,0.07%,0.21%,31,0.16,FALSE
Value,Value,Feb 2026,A small shift that changed how I think about work,2/5/2026,16:00:32,19626,6334,32.27%,18,0.09%,0.28%,39,0.2,FALSE
Value,Value,Feb 2026,Something I predicted for 2026 is already happening,2/3/2026,16:00:25,19638,8771,44.66%,358,1.82%,4.08%,35,0.18,FALSE
Value,Value,Jan 2026,Quick question about your AI goals for 2026,1/28/2026,15:03:09,19308,8566,44.37%,1016,5.26%,11.86%,28,0.15,FALSE
Value,Value,Jan 2026,Your AI Sprint Roadmap is available to download here,1/25/2026,17:15:07,19351,7342,37.94%,1572,8.12%,21.41%,34,0.18,FALSE
Value,Value,Jan 2026,The problem with AI,1/20/2026,15:30:12,19298,6476,33.56%,13,0.07%,0.20%,34,0.18,FALSE
Value,Value,Jan 2026,The new baseline skill for any job,1/17/2026,15:35:03,19263,6898,35.81%,216,1.12%,3.13%,31,0.16,FALSE
