subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links
Livestream recording and slides,2026-02-15,16:00:20,19771,8329,42.13,1034,5.23,12.41,24,0.12,FALSE,Value,Yes
Going live today! Building Agents in 2026 (major updates!),2026-02-14,11:00:08,19675,5716,29.05,223,1.13,3.9,22,0.11,FALSE,Value,Yes
Building Agents in 2026 (major updates!),2026-02-13,16:00:12,19668,6352,32.3,361,1.84,5.68,11,0.06,FALSE,Value,Yes
Going LIVE now,2026-02-14,12:00:20,19665,6066,30.85,515,2.62,8.49,25,0.13,FALSE,Value,Yes
Your AI Sprint Roadmap is available to download here,2026-01-25,17:15:07,19351,7292,37.68,1563,8.08,21.43,33,0.17,FALSE,Value,Yes
Quick question about your AI goals for 2026 👀,2026-01-28,15:03:09,19308,8497,44.01,1011,5.24,11.9,28,0.15,FALSE,Value,Yes
Heads up...,2025-11-20,23:41:36,18523,8857,47.82,251,1.36,2.83,44,0.24,FALSE,Value,No
I want to make you a free gift,2025-12-06,15:35:03,18388,6531,35.52,1106,6.01,16.93,23,0.13,FALSE,Value,Yes
Oops...,2025-12-18,22:05:02,18351,6639,36.18,526,2.87,7.92,28,0.15,FALSE,Value,Yes
Going LIVE today,2025-12-19,16:10:11,18336,5827,31.78,464,2.53,7.96,21,0.11,FALSE,Value,Yes
Going LIVE now,2025-12-20,0:00:10,18327,6014,32.81,680,3.71,11.31,28,0.15,FALSE,Value,Yes
Last Call for Hackathon!,2025-10-31,15:15:11,18206,6394,35.12,358,1.97,5.6,30,0.16,FALSE,Value,Yes
The fastest way to launch your first working AI agent,2025-11-21,16:00:41,18108,5937,32.79,843,4.66,14.2,28,0.15,FALSE,Sales,Yes
The real reason I've launched Agent Breakthrough,2025-11-22,15:30:07,18052,6111,33.85,508,2.81,8.31,29,0.16,FALSE,Value,Yes
Look out for tomorrow,2025-10-01,14:30:13,18039,6454,35.78,219,1.21,3.39,29,0.16,FALSE,Sales,No
Livestream recording and slides,2025-09-14,14:07:45,18038,9028,50.05,1430,7.93,15.84,42,0.23,FALSE,Value,Yes
Building Your First AI Agent' recording and notes,2025-10-18,14:30:14,18033,8453,46.88,1237,6.86,14.63,46,0.26,FALSE,Value,Yes
Doors close tomorrow,2025-11-23,17:31:15,18006,5883,32.67,575,3.19,9.77,42,0.23,FALSE,Sales,Yes
