month,month_dt,category,broadcasts_matched,a_eligible,b_eligible,a_openers,b_openers,a_clickers,b_clickers,a_open_rate,b_open_rate,a_sales_ctor,b_sales_ctor
2025-02,2025-02-01,Value,11,149,1712,1,5,4,3,0.6711409395973155,0.29205607476635514,,
2025-02,2025-02-01,Sales,1,149,1712,1,4,0,1,0.6711409395973155,0.23364485981308408,0.0,25.0
2025-03,2025-03-01,Value,7,218,2293,1,15,2,3,0.45871559633027525,0.6541648495420846,,
2025-03,2025-03-01,Sales,1,218,2293,1,3,0,1,0.45871559633027525,0.13083296990841692,0.0,33.33333333333333
2025-04,2025-04-01,Value,15,263,2783,3,2,6,13,1.1406844106463878,0.07186489399928135,,
2025-04,2025-04-01,Sales,10,263,2783,4,7,2,3,1.520912547528517,0.25152712899748475,50.0,42.857142857142854
2025-05,2025-05-01,Value,2,307,3188,0,0,2,12,0.0,0.0,,
2025-05,2025-05-01,Sales,0,307,3188,0,0,0,0,0.0,0.0,,
2025-06,2025-06-01,Value,4,369,3688,290,3018,92,390,78.59078590785907,81.83297180043384,,
2025-06,2025-06-01,Sales,0,369,3688,0,0,0,0,0.0,0.0,,
2025-07,2025-07-01,Value,16,430,4165,378,3744,250,1056,87.90697674418605,89.8919567827131,,
2025-07,2025-07-01,Sales,4,430,4165,205,1354,130,571,47.674418604651166,32.509003601440575,63.41463414634146,42.17134416543575
2025-08,2025-08-01,Value,16,506,4795,368,3838,19,212,72.72727272727273,80.04171011470281,,
2025-08,2025-08-01,Sales,0,506,4795,0,0,0,0,0.0,0.0,,
2025-09,2025-09-01,Value,27,561,5111,504,4724,306,1204,89.83957219251337,92.42809626296223,,
2025-09,2025-09-01,Sales,2,561,5111,111,2046,22,230,19.786096256684495,40.031305028370184,19.81981981981982,11.241446725317692
2025-10,2025-10-01,Value,34,620,5428,535,4923,251,923,86.29032258064517,90.6963890935888,,
2025-10,2025-10-01,Sales,5,620,5428,464,4355,318,1005,74.83870967741936,80.23212969786293,68.53448275862068,23.076923076923077
2025-11,2025-11-01,Value,18,668,5666,512,4750,93,386,76.64670658682635,83.83339216378397,,
2025-11,2025-11-01,Sales,8,668,5666,517,4761,272,950,77.39520958083833,84.0275326509001,52.61121856866537,19.953791220331862
2025-12,2025-12-01,Value,9,763,6010,582,4891,315,869,76.2778505897772,81.3810316139767,,
2025-12,2025-12-01,Sales,0,763,6010,0,0,0,0,0.0,0.0,,
2026-01,2026-01-01,Value,2,892,6368,690,5563,204,521,77.3542600896861,87.35866834170855,,
2026-01,2026-01-01,Sales,0,892,6368,0,0,0,0,0.0,0.0,,
2026-02,2026-02-01,Value,4,892,6368,713,5362,271,587,79.93273542600897,84.20226130653266,,
2026-02,2026-02-01,Sales,3,892,6368,492,2596,236,408,55.15695067264574,40.766331658291456,47.96747967479675,15.716486902927581
