date,subject,recipients,opened_n,clicked_n,not_clicked_n,intent_to_action_rate
2025-02-26,Announcing my next AI workshop…,8536,3274,552,2722,16.86010995723885
2025-03-13,My next AI workshop…,8426,3259,493,2766,15.127339674746853
2025-04-15,Struggling to keep up with AI? Do this instead:,1259,809,87,722,10.754017305315204
2025-04-21,I need to apologize in advance,1869,1273,103,1170,8.091123330714847
2025-04-22,Why I’m launching the AI Agent Bootcamp,9452,3135,9,3126,0.28708133971291866
2025-04-22,Your early-bird invite is enclosed inside,2239,1534,110,1424,7.170795306388526
2025-04-22,Important update…,2256,1578,741,837,46.958174904942965
2025-04-23,quick heads up...,2206,1387,360,1027,25.95529920692141
2025-04-23,Why I’m launching the AI Agent Bootcamp,2219,1366,333,1033,24.37774524158126
2025-04-24,5 spots left...,2183,1296,312,984,24.074074074074073
2025-07-14,A quick heads up for tomorrow,11258,3680,186,3494,5.054347826086956
2025-07-15,AI Agent Bootcamp sold out,4518,2979,158,2821,5.303793219201074
2025-07-15,Your private invite to join the AI Agent Bootcamp,4612,2889,1438,1451,49.775008653513325
2025-07-15,Why I built the AI Agent Bootcamp,11122,3559,5,3554,0.14048890137679124
2025-07-16,I have bad news,11091,4127,259,3868,6.275745093288103
2025-08-28,In case you missed it...,17654,7019,888,6131,12.651374839720757
2025-08-28,AI App Sprint is now open!,17843,6816,1594,5222,23.386150234741784
2025-08-29,Why I’ve launched the AI App Sprint,17359,6231,587,5644,9.420638741774995
2025-08-30,A sneak peek at the types of apps you can launch with AI,17268,6089,507,5582,8.326490392511085
2025-08-31,This ends tomorrow,17238,6209,594,5615,9.566757932034143
2025-08-31,What people say about Lonely Octopus,17171,6051,416,5635,6.8748967112873896
2025-09-01,Your questions answered,17089,6369,605,5764,9.499136442141623
2025-09-11,Quick update on the AI Agent Bootcamp,6626,3381,405,2976,11.978704525288377
2025-09-15,A quick heads up for tomorrow,11268,3517,241,3276,6.85243104918965
2025-09-15,A quick heads up for tomorrow,6444,3319,16,3303,0.4820729135281711
2025-09-16,sold out,11220,3756,180,3576,4.792332268370607
2025-09-16,Your private invite to join the AI Agent Bootcamp,6677,3515,1294,2221,36.81365576102419
2025-09-16,sold out,6574,3495,148,3347,4.234620886981403
2025-10-01,Look out for tomorrow,18039,6454,219,6235,3.3932444995351716
2025-10-02,Just launched…,17927,6663,1453,5210,21.806993846615637
2025-10-03,The silent danger of your job,17883,6520,562,5958,8.61963190184049
2025-10-04,Who the Freelance Accelerator is NOT for:,17851,6359,470,5889,7.391099229438591
2025-10-05,Doors closing tonight!,17995,6224,635,5589,10.202442159383034
2025-10-05,Answering your questions,17801,6313,400,5913,6.336131791541264
2025-10-06,Three hours left...,17758,5817,382,5435,6.566958913529311
2025-10-06,Last chance…,17727,6165,594,5571,9.635036496350365
2025-10-20,Urgent message about tomorrow,7014,3092,41,3051,1.3260025873221215
2025-10-21,Your private invite to join the AI Agent Bootcamp,7024,3316,1077,2239,32.4788902291918
2025-10-22,AI Agent Bootcamp sold out,17993,8410,488,7922,5.802615933412604
2025-11-13,Example of an AI agent businesses will pay $10K for,18497,6792,707,6085,10.409305064782098
2025-11-21,The fastest way to launch your first working AI agent,18108,5937,843,5094,14.199090449722082
2025-11-23,Doors close tomorrow,18006,5883,575,5308,9.77392486826449
2025-11-24,Are AI agents still worth the hype?,17889,5872,331,5541,5.636920980926431
2025-11-24,Answering your questions,17851,5709,262,5447,4.589245051672798
2025-11-24,This ends tonight,17933,5502,457,5045,8.306070519810978
2025-11-25,What people say about our programs,17831,5649,289,5360,5.1159497256151525
2025-11-25,Last chance…,17805,5775,534,5241,9.246753246753245
2025-12-09,I turned 30 years old…,18416,8227,33,8194,0.40111826911389326
2026-02-16,A quick heads up for tomorrow,8869,3190,11,3179,0.3448275862068966
2026-02-16,A quick heads up for tomorrow,10482,2586,48,2538,1.8561484918793503
2026-02-17,Your private invite to join the AI Agent Bootcamp,8930,3185,909,2276,28.540031397174253
2026-02-18,sold out,10500,2466,50,2416,2.02757502027575
2026-02-18,sold out,8856,3112,13,3099,0.4177377892030848
