subject,date,time,recipients,opened,open_rate,clicked,click_rate,click_to_open_rate,unsubscribed,unsub_rate,public,category,Links,subject_norm,api_broadcast_id,match_score
Why you need to study AI,2025-02-09,15:02:41,4,0,0.0,0,0.0,0.0,0,0.0,False,Value,No,why you need to study ai,18275461.0,1.0
Why you need to study AI,2025-02-10,20:22:27,36,17,47.22,0,0.0,0.0,1,2.78,False,Value,No,why you need to study ai,18296068.0,1.0
Why you need to study AI,2025-02-10,20:26:20,7,3,42.86,0,0.0,0.0,0,0.0,False,Value,No,why you need to study ai,18296068.0,1.0
Free Workshop: AI Agents Crash Course,2025-02-12,14:45:06,7696,2902,37.71,503,6.54,17.33,66,0.86,False,Value,Yes,free workshop ai agents crash course,18317027.0,1.0
My 3 biggest AI predictions for 2025:,2025-02-14,14:55:20,7598,2841,37.39,155,2.04,5.46,50,0.66,False,Value,Yes,my 3 biggest ai predictions for 2025,18348047.0,1.0
AI Agents Crash Course going LIVE today,2025-02-15,15:45:05,7573,2763,36.48,341,4.5,12.34,28,0.37,False,Value,Yes,ai agents crash course going live today,18358659.0,1.0
Workshop recording and slides:,2025-02-16,19:00:13,7704,4155,53.93,896,11.63,21.56,71,0.92,False,Value,Yes,workshop recording and slides,18364843.0,1.0
Going live now!,2025-02-16,0:00:10,7534,2818,37.4,429,5.69,15.22,59,0.78,False,Value,Yes,going live now,18358684.0,1.0
The real reason I quit working at Meta,2025-02-18,20:20:06,8011,3215,40.13,269,3.36,8.37,65,0.81,False,Value,Yes,the real reason i quit working at meta,18377440.0,1.0
Can I ask you a question?,2025-02-20,18:55:02,8207,4261,51.92,72,0.88,1.69,106,1.29,False,Value,Yes,can i ask you a question,18421666.0,1.0
To anyone feeling overwhelmed by AI,2025-02-22,15:52:15,8288,3347,40.38,432,5.21,12.91,38,0.46,True,Value,Yes,to anyone feeling overwhelmed by ai,18445326.0,1.0
Announcing my next AI workshop…,2025-02-26,15:15:06,8536,3274,38.36,552,6.47,16.86,39,0.46,True,Sales,Yes,announcing my next ai workshop,18491900.0,1.0
Are AI agents worth the hype?,2025-02-28,15:40:31,7218,2698,37.38,255,3.53,9.45,33,0.46,True,Value,Yes,are ai agents worth the hype,18503611.0,1.0
Building AI Agents workshop going LIVE today,2025-03-01,15:25:02,7249,2632,36.31,310,4.28,11.78,22,0.3,True,Value,Yes,building ai agents workshop going live today,,
Going live now!,2025-03-02,0:00:02,8679,3355,38.66,417,4.8,12.43,42,0.48,False,Value,Yes,going live now,,
"Workshop recording, related links and my agent workflows",2025-03-03,14:30:12,9017,3841,42.6,702,7.79,18.28,40,0.44,False,Value,Yes,workshop recording related links and my agent workflows,,
3 ways I use AI in my daily life,2025-03-06,17:17:05,9227,3501,37.94,235,2.55,6.71,24,0.26,True,Value,Yes,3 ways i use ai in my daily life,,
I’ve got a some questions for you {{ subscriber.first_name }},2025-03-08,17:55:51,9304,4059,43.63,870,9.35,21.43,52,0.56,True,Value,Yes,i ve got a some questions for you subscriber first name,18624740.0,0.9814814814814815
My 2025 AI learning roadmap,2025-03-11,13:27:38,8149,3258,39.98,628,7.71,19.28,31,0.38,False,Value,Yes,my 2025 ai learning roadmap,,
My next AI workshop…,2025-03-13,14:25:08,8426,3259,38.68,493,5.85,15.13,27,0.32,False,Sales,Yes,my next ai workshop,18687001.0,1.0
Claude workshop going LIVE today,2025-03-15,14:25:06,9932,3665,36.9,454,4.57,12.39,32,0.32,False,Value,Yes,claude workshop going live today,18702414.0,1.0
Workshop recording and prompts:,2025-03-16,20:30:04,10040,4133,41.17,737,7.34,17.83,27,0.27,False,Value,Yes,workshop recording and prompts,,
Going live now!,2025-03-16,0:00:04,9952,3790,38.08,473,4.75,12.48,30,0.3,False,Value,Yes,going live now,,
I’ve got some questions for you {{ subscriber.first_name }},2025-03-17,17:13:29,148,116,78.38,27,18.24,23.28,0,0.0,False,Value,Yes,i ve got some questions for you subscriber first name,18730989.0,1.0
what is the future for coding and data science?,2025-03-18,15:36:02,10144,3955,38.99,177,1.74,4.48,48,0.47,True,Value,Yes,what is the future for coding and data science,,0.40404040404040403
Why people struggle to build effective AI agents,2025-03-22,14:25:04,10322,4059,39.32,523,5.07,12.88,34,0.33,False,Value,Yes,why people struggle to build effective ai agents,18795707.0,1.0
How to study AI if you’re super busy,2025-03-25,14:25:10,10435,4180,40.06,510,4.89,12.2,32,0.31,True,Value,Yes,how to study ai if you re super busy,,
How to choose the best LLM,2025-03-27,14:30:12,9152,3492,38.16,348,3.8,9.97,32,0.35,False,Value,Yes,how to choose the best llm,18861859.0,1.0
Free AI workshop going LIVE today,2025-03-29,14:25:07,10564,3834,36.29,355,3.36,9.26,21,0.2,False,Value,Yes,free ai workshop going live today,18881080.0,1.0
Going LIVE now!,2025-03-30,0:00:05,10563,3902,36.94,403,3.82,10.33,24,0.23,False,Value,Yes,going live now,,
LLM workshop recording and slides,2025-03-31,15:05:01,10640,5448,51.2,1003,9.43,18.41,36,0.34,False,Value,Yes,llm workshop recording and slides,18907140.0,1.0
I’ve got some questions for you {{ subscriber.first_name }},2025-04-02,14:37:27,1339,894,66.77,321,23.97,35.91,5,0.37,False,Value,Yes,i ve got some questions for you subscriber first name,18938143.0,1.0
A tiny life change that’s made me more productive,2025-04-03,14:15:12,10754,5355,49.8,398,3.7,7.43,49,0.46,True,Value,Yes,a tiny life change that s made me more productive,,0.3333333333333333
An unconventional book on making better AI agents,2025-04-05,14:30:15,10770,4306,39.98,438,4.07,10.17,33,0.31,True,Value,Yes,an unconventional book on making better ai agents,,
Leaked AI memo from Shopify CEO,2025-04-08,14:15:07,9722,3450,35.49,722,7.43,20.93,16,0.16,True,Value,Yes,leaked ai memo from shopify ceo,19010267.0,1.0
Leaked AI memo from Shopify CEO,2025-04-08,14:05:05,1148,817,71.17,448,39.02,54.83,1,0.09,False,Value,Yes,leaked ai memo from shopify ceo,19010267.0,1.0
