month,month_dt,cohort,broadcasts_matched,sent_n,open_n,click_n,open_rate,ctor
2025-02,2025-02-01,Q1 Oldest Signups,12,8224,36,24,0.4377431906614786,66.66666666666666
2025-02,2025-02-01,Q2 Mid-Old Signups,12,1485,2,0,0.13468013468013468,0.0
2025-02,2025-02-01,Q3 Mid-New Signups,12,0,0,0,,
2025-02,2025-02-01,Q4 Newest Signups,12,0,0,0,,
2025-03,2025-03-01,Q1 Oldest Signups,8,8224,28,5,0.3404669260700389,17.857142857142858
2025-03,2025-03-01,Q2 Mid-Old Signups,8,4682,11,1,0.23494233233660827,9.090909090909092
2025-03,2025-03-01,Q3 Mid-New Signups,8,0,0,0,,
2025-03,2025-03-01,Q4 Newest Signups,8,0,0,0,,
2025-04,2025-04-01,Q1 Oldest Signups,25,8224,8,18,0.09727626459143969,225.0
2025-04,2025-04-01,Q2 Mid-Old Signups,25,7258,19,26,0.2617801047120419,136.8421052631579
2025-04,2025-04-01,Q3 Mid-New Signups,25,0,0,0,,
2025-04,2025-04-01,Q4 Newest Signups,25,0,0,0,,
2025-05,2025-05-01,Q1 Oldest Signups,2,8224,0,12,0.0,
2025-05,2025-05-01,Q2 Mid-Old Signups,2,8223,0,8,0.0,
2025-05,2025-05-01,Q3 Mid-New Signups,2,1212,0,0,0.0,
2025-05,2025-05-01,Q4 Newest Signups,2,0,0,0,,
2025-06,2025-06-01,Q1 Oldest Signups,4,8224,3094,254,37.6215953307393,8.209437621202326
2025-06,2025-06-01,Q2 Mid-Old Signups,4,8223,3682,450,44.77684543354007,12.221618685497013
2025-06,2025-06-01,Q3 Mid-New Signups,4,3695,1723,325,46.630581867388365,18.86244921648288
2025-06,2025-06-01,Q4 Newest Signups,4,0,1,0,,0.0
2025-07,2025-07-01,Q1 Oldest Signups,20,8224,3034,669,36.8920233463035,22.050098879367173
2025-07,2025-07-01,Q2 Mid-Old Signups,20,8223,3545,1205,43.110786817463215,33.99153737658674
2025-07,2025-07-01,Q3 Mid-New Signups,20,6142,3350,1601,54.54249430153044,47.7910447761194
2025-07,2025-07-01,Q4 Newest Signups,20,0,1,1,,100.0
2025-08,2025-08-01,Q1 Oldest Signups,16,8224,2365,92,28.757295719844358,3.890063424947146
2025-08,2025-08-01,Q2 Mid-Old Signups,16,8223,2599,87,31.60646965827557,3.3474413235859943
2025-08,2025-08-01,Q3 Mid-New Signups,16,8223,3519,156,42.79460051076249,4.433077578857629
2025-08,2025-08-01,Q4 Newest Signups,16,740,51,8,6.891891891891892,15.686274509803921
2025-09,2025-09-01,Q1 Oldest Signups,29,8224,3807,580,46.291342412451364,15.235093249277645
2025-09,2025-09-01,Q2 Mid-Old Signups,29,8223,3937,855,47.87790344156634,21.717043434086868
2025-09,2025-09-01,Q3 Mid-New Signups,29,8223,4586,1441,55.770400097288096,31.421718273004796
2025-09,2025-09-01,Q4 Newest Signups,29,2260,1230,534,54.424778761061944,43.41463414634146
2025-10,2025-10-01,Q1 Oldest Signups,39,8224,3568,624,43.3852140077821,17.48878923766816
2025-10,2025-10-01,Q2 Mid-Old Signups,39,8223,3603,870,43.816125501641736,24.14654454621149
2025-10,2025-10-01,Q3 Mid-New Signups,39,8223,4047,1241,49.2156147391463,30.664689893748452
2025-10,2025-10-01,Q4 Newest Signups,39,3623,2090,957,57.68699972398564,45.78947368421053
2025-11,2025-11-01,Q1 Oldest Signups,26,8224,2991,338,36.369163424124515,11.300568371782013
2025-11,2025-11-01,Q2 Mid-Old Signups,26,8223,3031,484,36.86002675422595,15.968327284724513
2025-11,2025-11-01,Q3 Mid-New Signups,26,8223,3356,643,40.812355587984925,19.159713945172825
2025-11,2025-11-01,Q4 Newest Signups,26,4569,2250,803,49.24491135915955,35.68888888888889
2025-12,2025-12-01,Q1 Oldest Signups,9,8224,1837,270,22.33706225680934,14.697876973326075
2025-12,2025-12-01,Q2 Mid-Old Signups,9,8223,2664,462,32.396935425027365,17.34234234234234
2025-12,2025-12-01,Q3 Mid-New Signups,9,8223,2727,488,33.16307916818679,17.895122845617895
2025-12,2025-12-01,Q4 Newest Signups,9,5901,2090,630,35.41772580918489,30.14354066985646
2026-01,2026-01-01,Q1 Oldest Signups,2,8224,2235,138,27.17655642023346,6.174496644295302
2026-01,2026-01-01,Q2 Mid-Old Signups,2,8223,2460,180,29.916089018606346,7.317073170731707
2026-01,2026-01-01,Q3 Mid-New Signups,2,8223,2689,216,32.7009607199319,8.032725920416512
2026-01,2026-01-01,Q4 Newest Signups,2,7451,2967,490,39.82015836800429,16.514998314796088
2026-02,2026-02-01,Q1 Oldest Signups,7,8224,2358,271,28.672178988326845,11.49279050042409
2026-02,2026-02-01,Q2 Mid-Old Signups,7,8223,2548,348,30.986258056670312,13.657770800627944
2026-02,2026-02-01,Q3 Mid-New Signups,7,8223,2731,433,33.21172321537152,15.854998169168802
2026-02,2026-02-01,Q4 Newest Signups,7,8801,3546,1146,40.290876036814,32.31810490693739
